downloads,count
2856046,701
9449324,417
57651584,277
3274415,216
15876942,190
19560441,163
134992,163
7983343,148
25578450,148
2229968,137
8680,132
5551482,121
37565,100
66902357,91
1196,89
4103927,81
371806,80
277642,78
736026,78
7896517,75
3481304,73
2719581,69
72496,65
5567,65
108346,64
7561987,61
3236,60
523593,59
675542,57
57214,55
53116,55
2675492,54
23838,53
6040,52
933542,49
58968,49
7803536,48
108497,48
204186,47
15516,47
29019,45
5062581,45
5779516,44
1691424,43
2344788,43
116377,43
8598,42
6379353,39
11467451,39
1845447,38
6087346,36
25290,35
131165,34
1428,33
204261,33
637884,30
14436708,30
125229,29
71995,29
66683,28
19320,28
8554,28
114444,28
520030,25
22140,25
1373430,24
22458,24
109067,23
118,22
29670,22
68005,22
2239521,21
26903,21
47381,21
3049,20
1478280,20
1036154,19
345323,19
1323,19
5125,18
250085,18
11335,18
27941,18
33822,18
156212,18
687507,18
442997,17
285960,17
169587,17
219086,17
14997,17
119425,16
48367,16
357711,16
20247,16
41,16
34720,16
155875,15
32067,15
279703,15
33629,15
1425608,15
7533,15
27137,15
757,14
3346,14
2184,14
7280,14
32800,14
10333,14
109066,14
159564,14
138827,14
2947,14
918,13
1553,13
7934,13
2899,13
43392,13
174883,13
3421218,13
302,13
478,13
643059,13
2868797,12
143546,12
56544,12
2770,12
24590,12
4564705,12
12881,12
49113,12
8077,12
29116,12
458903,11
114734,11
1805122,11
105253,11
4478,11
231553,11
49856,11
3883849,11
9849,11
3487221,11
1481487,10
2804,10
941,10
3301,10
23940,10
48315,10
48192,10
117081,10
20831,10
4292,10
195767,10
14379,10
1511,10
36946,10
209660,10
41,10
4861,9
1097,9
49816,9
18,9
169519,9
19169,9
5165924,9
13034,9
629,9
3719,9
17279392,9
58427,9
1017,9
1721,9
65219,9
9559,9
63250,9
652121,8
7,8
6716,8
27537,8
3175,8
226,8
158915,8
51490,8
8984818,8
24910,8
33720,8
2678,8
12283,8
9558,8
13436,8
11337,8
84953,8
925,8
117147,8
1134444,8
33986,8
2982,8
94861,8
61667,7
1669473,7
2932,7
10840,7
1431,7
1651,7
59775,7
2340940,7
26374,7
939,7
2203575,7
32670,7
694151,7
109,7
275878,7
159142,7
145100,7
6562,7
187194,7
38063,7
517,7
264157,7
21,7
857,7
327639,7
129107,7
158258,7
687598,6
1226,6
536,6
2745,6
402417,6
42,6
1070397,6
36697,6
43622,6
1240,6
33951,6
5481311,6
17440,6
189976,6
35332,6
34621,6
395052,6
2274,6
608,6
2021496,6
25902,6
1306,6
9398,6
17731,6
13960,6
2907,6
164569,6
112190,6
1584,6
587820,6
5733,6
36253,6
1363,6
39934,6
2199,6
300,6
16956,6
91329,6
2423,6
578,6
506,6
300,6
4333,6
21940,6
1758,5
33440,5
28603,5
27173,5
10330,5
37772,5
2131,5
1759,5
26209,5
11953,5
3681,5
43886,5
1570,5
574,5
37393,5
92835,5
1018,5
0,5
2,5
10556,5
931,5
7483,5
2957,5
3460,5
1271,5
165964,5
0,5
12955,5
2049,5
2117,5
4745,5
21260,5
1160,5
456,5
11474,5
6276,5
22296,5
44448,5
6826,5
2928,5
603164,5
1480,5
99479,5
10,5
925,5
392359,5
60089,5
742,5
14508,5
16671,5
12991,5
10701,5
3087333,5
172510,5
55109,5
39,5
10833,5
558800,5
1364917,5
55687,5
17352,5
5932890,5
223,5
26121,5
72599,5
4204,5
761,5
1957222,5
375,5
613,5
1229,5
32532,5
2825,5
749,5
82231,5
194,4
409,4
192,4
939,4
87,4
4406,4
597,4
730,4
812,4
1392,4
1111,4
11193,4
2107,4
108786,4
4349,4
42607,4
10249,4
2453,4
1578,4
1254134,4
21,4
2648,4
0,4
580,4
3215,4
135699,4
1823,4
39618,4
385,4
245,4
0,4
1557,4
291660,4
607,4
116,4
1303241,4
62129,4
2744,4
54,4
1279526,4
5474,4
26,4
6703,4
347793,4
695370,4
8436,4
2082,4
1201260,4
2788,4
2803,4
647,4
29019,4
0,4
39180,4
30605,4
7536,4
25022,4
1189841,4
840,4
8606,4
22268,4
640,4
746,4
448408,4
193,4
89,4
1726,4
43,4
10027,4
397276,4
732,4
51698,4
44,4
144,4
725,4
7275,4
948,4
289,4
1257,4
16314,4
10675,4
841,4
67395,4
1845,4
12436,4
761,4
21,4
270,4
3395046,4
186,4
12675,3
3939,3
20353,3
161,3
482,3
324,3
14767,3
5411,3
34704,3
3233,3
2117,3
266,3
730,3
6360,3
563,3
11660,3
99,3
1821,3
3830,3
213552,3
481,3
10799,3
707,3
6115,3
4236,3
498,3
493,3
6224,3
1081,3
33731,3
7174,3
6303,3
5046,3
4745,3
7,3
350,3
57576,3
808,3
6284,3
22639,3
10618,3
9655,3
1324,3
674,3
18602,3
3308,3
1289,3
8044,3
2642,3
6887,3
216,3
47388,3
242,3
1033,3
2250,3
161234,3
3322,3
1641,3
1411,3
3197,3
4289,3
122094,3
24773,3
2620,3
106,3
14045,3
8019,3
1212,3
829,3
1155875,3
886,3
2080,3
92376,3
2537,3
339,3
20,3
11101,3
8,3
911,3
4030,3
1326,3
827,3
2179,3
481,3
403,3
31789,3
1236,3
102,3
5503,3
4220,3
1941,3
497,3
10565,3
1030091,3
356,3
408,3
40322,3
13,3
91,3
119757,3
11888,3
3107,3
7150,3
452511,3
118,3
3786,3
295410,3
5588,3
756856,3
8849,3
1059,3
26,3
1193,3
483,3
5864,3
17526,3
29448,3
4763,3
732607,3
94908,3
4296,3
1779,3
40898,3
48590,3
16240,3
14400,3
83,3
0,3
18,3
21835,3
420,3
91,3
295,3
166,3
1779,3
35332,3
249,3
96,3
43998,3
117012,3
95997,3
20,3
2687,3
473,3
6,3
19510,3
291,3
40612,3
214,3
834,3
70,2
233,2
17503,2
105305,2
187,2
12879,2
3489,2
3,2
4,2
1118,2
0,2
22355,2
1321,2
40,2
378,2
105,2
140565,2
1800,2
13621,2
1204,2
881,2
20736,2
3474,2
4515,2
10,2
173,2
247,2
211,2
4137,2
475,2
706,2
1887,2
269,2
176,2
1887,2
1384,2
88,2
96,2
279,2
2133,2
2191,2
97,2
335385,2
1825,2
432,2
